id;nom_site;geojson;surface;etat
11;Merveilles;{"type":"MultiPolygon","coordinates":[[[[7.44941569724705,44.0604596164804],[7.44936508000031,44.0604089672939],[7.4492767823945,44.0604200351718],[7.4491822521689,44.0604044417136],[7.44911692460284,44.0604175656997],[7.4490388453047,44.0604267225021],[7.44884670025563,44.0604091179362],[7.44876800661713,44.0603839084443],[7.44872206653461,44.060379795782],[7.44863923901418,44.0603547543272],[7.44858820106759,44.0603119720637],[7.44855157815619,44.0603209377921],[7.44851873949486,44.0603252638163],[7.44846913178281,44.0603272812635],[7.4483732655815,44.0603476277929],[7.44826761600683,44.0603489336537],[7.44817593796489,44.0603167754537],[7.44800676353488,44.0603012258631],[7.44787010921698,44.0603037921025],[7.44784440390934,44.0603197899721],[7.44778251079707,44.06032380192],[7.44774120194851,44.0603523963339],[7.44769704112752,44.060397554592],[7.44763165843897,44.060463014139],[7.44760691624471,44.0605178496379],[7.44763198417727,44.0605467356487],[7.44768560955426,44.060543059966],[7.44772659984066,44.0605369074836],[7.44786188705652,44.0605433686176],[7.44788852490368,44.0605392949367],[7.44790296287144,44.0605117931065],[7.44791611870846,44.0604678955079],[7.44802357132255,44.0604366114005],[7.44815312360434,44.0604492864251],[7.44837342173529,44.0604821952192],[7.44841246147904,44.0604776170621],[7.44855866646448,44.0604911096595],[7.44872760845464,44.0605036773522],[7.44882280675649,44.0605013008572],[7.44896179317491,44.0605285438924],[7.44901463388849,44.0605413473833],[7.44915772288648,44.0605415085429],[7.44925923880877,44.0605403699728],[7.44927885942819,44.0605261145175],[7.44930331357952,44.0605206340447],[7.44934180199615,44.0605355164286],[7.44935923900551,44.0605198545124],[7.44936635433785,44.0604915288655],[7.44934728502898,44.0604863234639],[7.44933290098979,44.0604614890347],[7.44934437019242,44.0604490603952],[7.44941569724705,44.0604596164804]]]]};2155.0;bon
12;Vallon du Lauzanier;{"type":"MultiPolygon","coordinates":[[[[6.88563009629539,44.415682198681],[6.88563920861763,44.4158148148614],[6.88565853523239,44.4159092350433],[6.88562601591393,44.4159758333933],[6.88556416371381,44.4160516416586],[6.88546627134346,44.416163493109],[6.88543126414617,44.4162976575563],[6.88549493776538,44.4163107588072],[6.88572540846604,44.4161972919035],[6.88578421806406,44.4160980677002],[6.88578931490817,44.4159853998251],[6.88574112003914,44.4158654111094],[6.88563009629539,44.415682198681]]]]};822.0;moyen
93;Lac Allos;{"type":"MultiPolygon","coordinates":[[[[6.69937240539785,44.2417798863872],[6.69944240470105,44.2418501194458],[6.69951869709986,44.2419078674214],[6.69956990650592,44.2419296600053],[6.69981206214201,44.2419572802584],[6.69996128947064,44.2419338496143],[6.6999082835338,44.2418845171703],[6.69981791180905,44.2418507536559],[6.69970273619144,44.2418076077027],[6.69960160688608,44.2417834068221],[6.69954775505047,44.2417862491947],[6.69946466216521,44.241755303794],[6.69937240539785,44.2417798863872]]]]};542.0;bon
13;Lac Allos;{"type":"MultiPolygon","coordinates":[[[[6.70010128374218,44.2410713403586],[6.69992986207217,44.2411251654984],[6.69995910570321,44.2411374708806],[6.69999166663016,44.241156819136],[6.70004103782457,44.2411725369737],[6.70008616335965,44.2412538355527],[6.70017211002688,44.2412632021112],[6.70025742975815,44.2412848626767],[6.7003180244611,44.2412981565358],[6.70034887792045,44.2413349444155],[6.70038856884522,44.241376543566],[6.70042271531726,44.2414203841307],[6.70049517067729,44.2414629241205],[6.70058899271865,44.2415057709361],[6.70067624286755,44.2415570122065],[6.70070074638656,44.2415183669965],[6.7006932553504,44.241512483095],[6.70066097221326,44.2414972076329],[6.70056615177986,44.2414390578677],[6.70048240678007,44.2413979257986],[6.70043967663711,44.2413533564026],[6.70037899293326,44.2412950828539],[6.70030552650282,44.2412372312095],[6.70024938428823,44.2412268599824],[6.70016113051419,44.2412257442089],[6.70012163927239,44.2411872019855],[6.70011102111765,44.241133376996],[6.70010128374218,44.2410713403586]]]]};431.0;moyen
14;Lac Allos;{"type":"MultiPolygon","coordinates":[[[[6.69992986207217,44.2411251654984],[6.70010128374218,44.2410713403586],[6.70014995050952,44.2410543540637],[6.70021017425094,44.2410400598876],[6.70030421651127,44.2409990614486],[6.70037086593099,44.2409743231053],[6.70035600470913,44.2409645966823],[6.70029558166499,44.2409758339322],[6.70019844656433,44.2410128456518],[6.70014166194586,44.2410362421022],[6.70004912728042,44.2410567346835],[6.69994793946128,44.2410969555314],[6.69992986207217,44.2411251654984]]]]};98.0;moyen
15;Estrop;{"type":"MultiPolygon","coordinates":[[[[6.79336888445723,44.2211214518269],[6.79330574316585,44.2210727396672],[6.7932586874606,44.2211017716289],[6.7931818629507,44.2210926826082],[6.79308952727327,44.2210958748189],[6.79303938990507,44.2211602483417],[6.79301949159066,44.2211883413371],[6.79299468394655,44.2212244340736],[6.79296987627091,44.2212605268053],[6.79288970885996,44.2212828732457],[6.79282144882832,44.2213204680559],[6.79276791676893,44.2213340636217],[6.79265411561807,44.2213419124881],[6.79258324457215,44.2213404472701],[6.79252506412344,44.2213659484322],[6.7924624963633,44.2214072612623],[6.79239324247424,44.2215114453622],[6.79236843429092,44.2215475379632],[6.79232216089804,44.2215882874984],[6.79226371902031,44.2216098825357],[6.79218020769056,44.221663664113],[6.79214840143196,44.2216765084574],[6.79215827086602,44.2217427225589],[6.79214328138949,44.2217628156947],[6.79209622451806,44.2217918471684],[6.79208797182241,44.221831282523],[6.79200654833169,44.2219163118986],[6.79195379862937,44.221941625044],[6.7919124341465,44.2219743747138],[6.79188866959075,44.2220260911796],[6.79181523742445,44.2220677790851],[6.79179403304771,44.2220763419137],[6.7916745376452,44.2220804714869],[6.79156825455542,44.2221193794612],[6.79154240153931,44.2221398479176],[6.79145805624626,44.222099697446],[6.79135819923934,44.2220718279572],[6.79131605133342,44.2220928594265],[6.79127468637257,44.2221256088585],[6.79126100143881,44.2221652318426],[6.79127473559256,44.2222078223966],[6.79127969445714,44.2222820362664],[6.79127222410182,44.2223331895495],[6.79120552766783,44.2223942193357],[6.79114269683015,44.2224316254417],[6.79106874163259,44.2224655008688],[6.79111480464598,44.2225030594004],[6.79120923063756,44.2225311167987],[6.79128349606423,44.2225833608233],[6.7913223006689,44.2225937649985],[6.79139212923698,44.2225796070571],[6.79149789129005,44.2225328872578],[6.79153204728048,44.2225551970345],[6.79168308953108,44.2225343174164],[6.7917534399899,44.2225279712311],[6.79175417315635,44.2224574756571],[6.79177328945795,44.2224176648959],[6.79184593900973,44.2223642590348],[6.79187048684791,44.222324260545],[6.7918722640018,44.2222693889446],[6.79185205363265,44.222211362211],[6.79192005434028,44.2221698619949],[6.79196272415881,44.2221566422757],[6.79198648870176,44.2221049257904],[6.7920265480189,44.2220526461356],[6.79212948747153,44.2220451733721],[6.79218275929998,44.2220276721222],[6.79218119297564,44.2220042361789],[6.79218519985402,44.2219536074286],[6.79218709614413,44.2219296469003],[6.79221320988786,44.2219130842845],[6.79227630050648,44.221879583566],[6.79228659087717,44.2217891825925],[6.792260426565,44.2217235317037],[6.79230774435709,44.2216984061502],[6.7924344470706,44.2216392165545],[6.79252391183423,44.2215930590155],[6.79256397029548,44.2215407791781],[6.79265395696699,44.2215024335127],[6.79279434258173,44.2214036203643],[6.79285847668193,44.2213857432712],[6.79295572217356,44.2213745515113],[6.79296606303909,44.2213663639995],[6.79305730291806,44.2212653344422],[6.79307176971641,44.2212374292128],[6.79309683843044,44.2212052424454],[6.79314697577325,44.221140868895],[6.79326699134068,44.2211445496937],[6.79336888445723,44.2211214518269]]]]};4440.0;bon
16;Vallon du Lauzanier;{"type":"MultiPolygon","coordinates":[[[[6.88311736401738,44.4171953434711],[6.88335480283701,44.4172247941359],[6.88363654015095,44.4172966726305],[6.88390788404347,44.4173627704447],[6.88422120139888,44.4174376160737],[6.88445655198861,44.4174364587571],[6.88459792526256,44.4175214622791],[6.8848914922412,44.4175785990015],[6.88503132667342,44.4175787743449],[6.88509215338295,44.4175919673427],[6.88516857861674,44.417603591355],[6.88521020085344,44.4176072326075],[6.88522068025353,44.4175935689658],[6.88512099597349,44.4175756097435],[6.885076035042,44.4175649211604],[6.88500258841273,44.4174928697141],[6.88489548529417,44.4174291530831],[6.88479843214175,44.4172832821101],[6.88428949114807,44.4172061388815],[6.88426619784505,44.4170955003248],[6.88444057248538,44.4170586680626],[6.88463601374978,44.4170374502264],[6.88477609291066,44.4171449949321],[6.88494071416268,44.4171320293031],[6.88519865364535,44.4170861090379],[6.88525967462952,44.4171228183114],[6.88532942242287,44.4171203566202],[6.8852615565405,44.4170879807501],[6.88518448839253,44.4170252592759],[6.8848006765405,44.4170459606782],[6.88477631498605,44.4169404701229],[6.88499524109292,44.416908202417],[6.88511498756342,44.4168651224047],[6.88505466804523,44.4168386177667],[6.88492437513798,44.4168319681159],[6.88480792480209,44.4168606103632],[6.88477495072078,44.4167544053155],[6.88485672536824,44.416677894463],[6.88493278861009,44.4166220349998],[6.88493181325115,44.4165249211669],[6.88502518770479,44.4164510651347],[6.88494454349448,44.4163986901965],[6.88486624821331,44.4164842893468],[6.88473756759279,44.416501096825],[6.88463224451826,44.4165048135719],[6.88439986877597,44.4165283531907],[6.88406047174623,44.41655157665],[6.88374968196777,44.4165134585881],[6.88337892839427,44.4164334819507],[6.88277811220222,44.416368775157],[6.88257643172945,44.4162368223358],[6.88214415376159,44.4162786554355],[6.881859087223,44.416449251729],[6.88176798589303,44.4167224311163],[6.88182366609971,44.4170763258206],[6.88179356979877,44.4172614628497],[6.88185342863805,44.4175098876536],[6.88203209719427,44.4175976619678],[6.88229025164916,44.4175548144179],[6.88240752566976,44.4174340989286],[6.88248777088399,44.4173975251976],[6.88311736401738,44.4171953434711]]]]};25898.0;moyen
17;Vallon du Lauzanier;{"type":"MultiPolygon","coordinates":[[[[6.88612575019752,44.4174552720173],[6.88615084835233,44.4174052935953],[6.8861336941103,44.4173425035316],[6.88607939247316,44.4172789699178],[6.88601511863286,44.4172157973222],[6.88592619442248,44.4171882569985],[6.88589777462848,44.41714836039],[6.88585137293155,44.4170753458113],[6.88585053311042,44.4170007229264],[6.88586571544649,44.4169102038],[6.88583955422982,44.4168824938002],[6.88577981041235,44.4168436938735],[6.88566117762888,44.4167783481218],[6.88570111199094,44.4168403341271],[6.88570433511733,44.4169496440231],[6.88570811543283,44.4170875587191],[6.88571610683255,44.4172038564337],[6.88565627086543,44.4173297044183],[6.88574071753211,44.4174167068518],[6.88598833039249,44.4174488751587],[6.88611114612325,44.4174711272525],[6.88612575019752,44.4174552720173]]]]};1376.0;moyen
18;Vallon du Lauzanier;{"type":"MultiPolygon","coordinates":[[[[6.88504249997679,44.4127987678698],[6.88517946747179,44.4126742897347],[6.88525080091005,44.4125705320632],[6.88528086647248,44.4124682399891],[6.88522000896653,44.4123507442185],[6.88512378839582,44.4122375609195],[6.88504319200571,44.412206661977],[6.88499194583924,44.4122912975546],[6.88512151953751,44.4124329555973],[6.88515154610256,44.4125586957236],[6.88506376878024,44.4127346127192],[6.8850287978734,44.4127655078595],[6.88504249997679,44.4127987678698]]]]};589.0;moyen
19;Merveilles;{"type":"MultiPolygon","coordinates":[[[[7.46535959490238,44.0592463743413],[7.46518784536737,44.0592773100845],[7.46499675221414,44.0592731484127],[7.46471923827418,44.0592246649316],[7.46456355590244,44.0592489627405],[7.46440054157355,44.0592855218162],[7.46435249426818,44.0594130863839],[7.46436959207584,44.0594277233944],[7.46443251913269,44.0594815936918],[7.46447128383065,44.059494665233],[7.46465403177117,44.0595562882397],[7.46482547047639,44.059627045177],[7.46481891865726,44.0595435768686],[7.46473982919585,44.0594869938849],[7.46477274420535,44.0593779901478],[7.4649293628334,44.0593656160815],[7.46506258228629,44.0593721403305],[7.46517786227043,44.0593614533611],[7.46533307664906,44.0593311926584],[7.46551028562934,44.0592641470523],[7.46561948042899,44.0591759533863],[7.46558360131286,44.0591415314133],[7.46542979172626,44.0591896785223],[7.46535959490238,44.0592463743413]]]]};1707.0;moyen
